epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1674,1.22356,3.30773,1.40024,0.00302,0.63333,0.18483,0.13341,0.93424,3.83838,0.99839,0.00016,0.00016,0.00016
2,70.7767,1.13938,2.35626,1.28068,0.00349,0.73333,0.44893,0.22716,1.10369,3.58367,1.0225,0.000333268,0.000333268,0.000333268
3,104.654,1.06178,1.8643,1.17081,0.93253,0.16667,0.38098,0.25728,1.0614,3.50166,1.02257,0.000499408,0.000499408,0.000499408
4,138.802,1.03843,1.78274,1.15769,0.4591,0.33333,0.32071,0.22922,1.0264,3.43697,1.00426,0.00065842,0.00065842,0.00065842
5,173.381,1.11741,1.64996,1.20532,0.57313,0.09104,0.23109,0.15242,1.17193,3.68639,1.04728,0.000810304,0.000810304,0.000810304
6,210.086,1.01846,1.49344,1.11308,0.50904,0.13875,0.21364,0.16101,1.29893,3.52726,1.15156,0.00095506,0.00095506,0.00095506
7,246.994,1.05762,1.49528,1.16171,0.36261,0.16667,0.2108,0.13305,1.50781,3.39826,1.30758,0.00109269,0.00109269,0.00109269
8,279.186,0.95924,1.39385,1.10532,0.15313,0.13333,0.09273,0.06226,1.5745,3.79846,1.54566,0.00122319,0.00122319,0.00122319
9,310.979,1.01276,1.38163,1.13111,0.07584,0.13333,0.03385,0.01898,1.45898,7.67757,1.42213,0.00134656,0.00134656,0.00134656
10,343.139,1.08819,1.55868,1.21694,0.3462,0.16667,0.14249,0.07439,1.48175,3.75753,1.37102,0.0014628,0.0014628,0.0014628
11,376.67,1.07663,1.45894,1.19795,0.28844,0.23333,0.20936,0.12657,1.50986,3.27872,1.63811,0.00157192,0.00157192,0.00157192
12,411.912,1.04653,1.3623,1.18193,0.17421,0.3,0.12537,0.07438,1.81895,3.66881,1.72477,0.0015644,0.0015644,0.0015644
13,445.163,1.04332,1.263,1.16662,0.08965,0.1,0.03328,0.01487,2.04092,4.69966,1.9045,0.0015248,0.0015248,0.0015248
