epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8493,2.2625,1.26884,1.24334,0.00032,0.06667,0.00014,3e-05,1.92837,0.25058,1.84136,1.96923e-05,1.96923e-05,0.0803274
2,134.697,1.6498,0.34734,0.78762,0.00063,0.13333,0.00105,0.00027,1.55018,0.4822,0.90172,3.96826e-05,3.96826e-05,0.0603474
3,198.702,1.45681,0.49334,0.53039,0.0019,0.4,0.03009,0.00832,1.13544,0.87931,0.57348,5.9634e-05,5.9634e-05,0.0403673
4,265.936,1.33863,0.58314,0.47731,0.00333,0.7,0.08831,0.03349,0.84642,1.11214,0.45195,7.95172e-05,7.95172e-05,0.0203872
5,330.432,1.23492,0.65855,0.38447,0.00317,0.66667,0.1252,0.0333,0.86363,1.12564,0.39966,9.93032e-05,9.93032e-05,0.000406995
6,388.704,1.13415,0.76736,0.35048,0.00365,0.76667,0.11405,0.0445,0.68544,1.38039,0.29253,9.93906e-05,9.93906e-05,9.93906e-05
7,457.889,1.061,0.84471,0.33847,0.00535,0.76667,0.12078,0.05168,0.72516,1.29305,0.26271,9.91232e-05,9.91232e-05,9.91232e-05
8,522.266,0.97421,0.8868,0.29069,0.02109,0.6,0.09364,0.04894,0.57762,1.36599,0.2409,9.88079e-05,9.88079e-05,9.88079e-05
9,578.832,0.89927,0.90672,0.24641,0.03818,0.53333,0.06826,0.04034,0.52912,1.37169,0.19596,9.84449e-05,9.84449e-05,9.84449e-05
10,636.006,0.85534,0.90768,0.23486,0.04596,0.46667,0.08435,0.05037,0.45833,1.47488,0.15054,9.80345e-05,9.80345e-05,9.80345e-05
11,691.532,0.82388,0.87086,0.22332,0.06751,0.43333,0.10261,0.06574,0.39619,1.39431,0.13282,9.75773e-05,9.75773e-05,9.75773e-05
12,758.089,0.8115,0.85567,0.23141,0.09582,0.43333,0.12876,0.07008,0.44225,1.27985,0.16504,9.70736e-05,9.70736e-05,9.70736e-05
13,823.444,0.78717,0.82501,0.19402,0.10789,0.3,0.11956,0.07567,0.38873,1.28214,0.14285,9.65239e-05,9.65239e-05,9.65239e-05
14,887.682,0.72846,0.86672,0.18562,0.12117,0.26667,0.12952,0.07757,0.39184,1.22296,0.12653,9.59289e-05,9.59289e-05,9.59289e-05
15,951.768,0.68229,0.91084,0.18497,0.13045,0.33333,0.13383,0.08731,0.32592,1.31008,0.10013,9.52889e-05,9.52889e-05,9.52889e-05
16,1016.4,0.67843,0.87538,0.16673,0.14239,0.3,0.16996,0.12295,0.32509,1.26571,0.12129,9.46048e-05,9.46048e-05,9.46048e-05
17,1084.31,0.63577,0.91244,0.17018,0.1636,0.36667,0.16962,0.11723,0.27304,1.30587,0.06978,9.38772e-05,9.38772e-05,9.38772e-05
18,1141.95,0.65468,0.8883,0.1574,0.11939,0.3,0.14713,0.10212,0.31357,1.30011,0.08813,9.31067e-05,9.31067e-05,9.31067e-05
19,1199.27,0.62544,0.90908,0.16206,0.14462,0.23333,0.16379,0.10364,0.33507,1.23594,0.11493,9.22942e-05,9.22942e-05,9.22942e-05
20,1255.83,0.63418,0.88503,0.15938,0.14426,0.26667,0.1689,0.10538,0.33654,1.21118,0.1109,9.14405e-05,9.14405e-05,9.14405e-05
21,1312.57,0.59903,0.93958,0.16502,0.18379,0.5,0.21708,0.1661,0.32017,1.16875,0.10201,9.05463e-05,9.05463e-05,9.05463e-05
22,1379.21,0.57955,0.92221,0.14319,0.18253,0.33333,0.21953,0.14776,0.27783,1.35266,0.08382,8.96127e-05,8.96127e-05,8.96127e-05
23,1436.24,0.61146,0.90289,0.14854,0.17475,0.44477,0.2372,0.13966,0.32947,1.17097,0.07461,8.86404e-05,8.86404e-05,8.86404e-05
24,1492.85,0.59306,0.93745,0.15493,0.18936,0.36667,0.23893,0.1737,0.28311,1.18906,0.07846,8.76305e-05,8.76305e-05,8.76305e-05
25,1557.13,0.61813,0.86756,0.15605,0.1814,0.3,0.1872,0.11696,0.33644,1.15461,0.07788,8.65839e-05,8.65839e-05,8.65839e-05
26,1613.22,0.57881,0.9605,0.12967,0.17995,0.33333,0.23855,0.15835,0.25297,1.26034,0.06575,8.55018e-05,8.55018e-05,8.55018e-05
27,1673.59,0.59919,0.87219,0.14264,0.19444,0.4,0.22012,0.13589,0.32284,1.23009,0.06915,8.43851e-05,8.43851e-05,8.43851e-05
28,1729.78,0.5743,0.94241,0.12721,0.17417,0.44298,0.23893,0.17823,0.31233,1.18011,0.0809,8.32349e-05,8.32349e-05,8.32349e-05
29,1793.42,0.57184,0.88647,0.11782,0.14566,0.43333,0.19623,0.11966,0.36583,1.23465,0.08399,8.20525e-05,8.20525e-05,8.20525e-05
30,1849.91,0.56407,0.97972,0.12598,0.20517,0.4,0.23857,0.17272,0.28166,1.18119,0.06157,8.08389e-05,8.08389e-05,8.08389e-05
31,1907.08,0.56644,0.87583,0.12057,0.16341,0.46667,0.22847,0.13289,0.30441,1.17292,0.06761,7.95954e-05,7.95954e-05,7.95954e-05
32,1967.32,0.55037,0.97214,0.12829,0.1818,0.4,0.2261,0.15233,0.28213,1.19672,0.06131,7.83231e-05,7.83231e-05,7.83231e-05
33,2024.02,0.56379,0.88203,0.11146,0.14885,0.46667,0.19477,0.1157,0.37395,1.21123,0.08234,7.70234e-05,7.70234e-05,7.70234e-05
34,2081.15,0.56058,1.02477,0.11353,0.17252,0.36667,0.22278,0.13968,0.27434,1.26515,0.0669,7.56976e-05,7.56976e-05,7.56976e-05
35,2139.02,0.54409,0.87233,0.11804,0.16737,0.46667,0.2332,0.14246,0.27791,1.12631,0.06006,7.43468e-05,7.43468e-05,7.43468e-05
36,2196.49,0.56596,0.96429,0.11602,0.11905,0.46667,0.176,0.14239,0.21946,1.5542,0.0538,7.29725e-05,7.29725e-05,7.29725e-05
37,2257.22,0.55133,0.96702,0.12298,0.16667,0.43333,0.2129,0.15301,0.2299,1.20109,0.05239,7.15761e-05,7.15761e-05,7.15761e-05
38,2313.8,0.59389,0.89216,0.13016,0.15349,0.4,0.18224,0.10704,0.33653,1.4661,0.07732,7.01588e-05,7.01588e-05,7.01588e-05
39,2370.2,0.56852,1.03491,0.12803,0.17184,0.43333,0.21745,0.12958,0.30315,1.26659,0.06993,6.87222e-05,6.87222e-05,6.87222e-05
40,2426.85,0.55483,0.87457,0.11752,0.18428,0.53333,0.2494,0.13782,0.321,1.12935,0.07255,6.72675e-05,6.72675e-05,6.72675e-05
41,2482.49,0.54875,0.99527,0.11528,0.16729,0.43333,0.17272,0.12194,0.21898,1.61401,0.05328,6.57963e-05,6.57963e-05,6.57963e-05
42,2542.53,0.54636,1.00545,0.11484,0.16355,0.3,0.22052,0.15337,0.21074,1.26488,0.04577,6.43101e-05,6.43101e-05,6.43101e-05
43,2599.37,0.54099,0.91204,0.10916,0.16287,0.3,0.19493,0.11336,0.30095,1.27373,0.05513,6.28101e-05,6.28101e-05,6.28101e-05
44,2656.72,0.52731,1.00519,0.11036,0.19341,0.36667,0.21707,0.15019,0.19699,1.29295,0.04721,6.12981e-05,6.12981e-05,6.12981e-05
45,2713.48,0.53322,0.90059,0.11157,0.19856,0.46667,0.28248,0.16431,0.28866,1.15617,0.06141,5.97754e-05,5.97754e-05,5.97754e-05
46,2770.75,0.50708,0.98956,0.11841,0.14627,0.46667,0.20538,0.15095,0.21248,1.4076,0.04902,5.82435e-05,5.82435e-05,5.82435e-05
47,2836.33,0.50135,0.98876,0.11492,0.20751,0.36667,0.23685,0.17117,0.20504,1.2639,0.05216,5.6704e-05,5.6704e-05,5.6704e-05
