epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2333.18,0.64339,1.32118,0.23146,0.10317,0.35809,0.09306,0.04261,0.45403,1.29995,0.19424,1.99789e-05,1.99789e-05,0.0800411
2,3012,0.45101,1.27093,0.14496,0.06445,0.79727,0.15579,0.09685,0.30066,1.44486,0.12775,3.99691e-05,3.99691e-05,0.0600611
3,3690.87,0.48604,0.78323,0.16364,0.93295,0.89476,0.92436,0.60848,0.35725,0.43857,0.15556,5.99203e-05,5.99203e-05,0.040081
4,4364.84,0.44613,0.48369,0.15449,0.9277,0.88858,0.93087,0.62245,0.35867,0.48142,0.15489,7.98032e-05,7.98032e-05,0.0201009
5,5027.77,0.41338,0.44781,0.14384,0.9414,0.93804,0.95177,0.65507,0.33538,0.39489,0.14594,9.95886e-05,9.95886e-05,0.000120708
6,5688.27,0.39004,0.43598,0.13652,0.95173,0.93622,0.95698,0.65755,0.33305,0.39891,0.14221,9.93906e-05,9.93906e-05,9.93906e-05
7,6353.46,0.38321,0.42216,0.13095,0.92206,0.93759,0.96036,0.66006,0.33562,0.39754,0.14547,9.91232e-05,9.91232e-05,9.91232e-05
8,7016.51,0.37746,0.41623,0.12862,0.97302,0.93651,0.97002,0.67217,0.32713,0.38446,0.14026,9.88079e-05,9.88079e-05,9.88079e-05
9,7674.36,0.37339,0.41205,0.13003,0.97119,0.93576,0.96405,0.67311,0.33031,0.3889,0.14402,9.84449e-05,9.84449e-05,9.84449e-05
10,8330.64,0.36648,0.40181,0.12256,0.96139,0.9549,0.97278,0.67502,0.3269,0.37389,0.13864,9.80345e-05,9.80345e-05,9.80345e-05
11,8987.41,0.36424,0.39513,0.12767,0.96959,0.94413,0.96636,0.67471,0.32808,0.37743,0.14223,9.75773e-05,9.75773e-05,9.75773e-05
12,9640.19,0.35398,0.39753,0.12062,0.98172,0.95444,0.97545,0.68494,0.32337,0.36635,0.13597,9.70736e-05,9.70736e-05,9.70736e-05
13,10295.6,0.35699,0.3926,0.12041,0.97487,0.95125,0.97354,0.68444,0.32135,0.36542,0.1369,9.65239e-05,9.65239e-05,9.65239e-05
14,10946.9,0.34806,0.39002,0.11719,0.97131,0.94579,0.96851,0.68516,0.32018,0.37417,0.13784,9.59289e-05,9.59289e-05,9.59289e-05
15,11599.8,0.34676,0.3886,0.11629,0.9739,0.95672,0.96953,0.68433,0.32393,0.36488,0.14189,9.52889e-05,9.52889e-05,9.52889e-05
16,12246.7,0.34947,0.38294,0.12113,0.98444,0.95101,0.97421,0.68529,0.32317,0.36091,0.1392,9.46048e-05,9.46048e-05,9.46048e-05
17,12910.2,0.34687,0.38568,0.11734,0.97405,0.94533,0.96369,0.6818,0.32364,0.37329,0.13969,9.38772e-05,9.38772e-05,9.38772e-05
18,13574.2,0.33946,0.38462,0.11361,0.97643,0.94366,0.97175,0.69016,0.32122,0.36636,0.13808,9.31067e-05,9.31067e-05,9.31067e-05
19,14239.9,0.33854,0.38027,0.11277,0.98198,0.95034,0.97582,0.69042,0.31994,0.36209,0.1374,9.22942e-05,9.22942e-05,9.22942e-05
20,14901.2,0.33789,0.37791,0.11178,0.98853,0.94852,0.97412,0.69067,0.31964,0.35732,0.13811,9.14405e-05,9.14405e-05,9.14405e-05
21,15558.2,0.33299,0.37764,0.11058,0.97614,0.95171,0.97301,0.6851,0.32329,0.36459,0.13948,9.05463e-05,9.05463e-05,9.05463e-05
