epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
1.0,98.423415,0.000076,,,,,,,0.014624,0.183747,0.043381,0.057693,0.007649,0.075025,0.000008,2643.451923,0.198242,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,98.827186,0.000100,,,,,,,0.014556,0.089418,0.049244,0.029956,0.005186,0.005032,0.000010,2631.125000,0.193644,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,98.963341,0.000100,,,,,,,0.014549,0.077547,0.044593,0.025391,0.004208,0.003355,0.000010,2633.923077,0.193182,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,99.088229,0.000100,,,,,,,0.014565,0.072740,0.042594,0.023561,0.003893,0.002692,0.000010,2657.548077,0.194055,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,99.084473,0.000100,,,,,,,0.014702,0.068341,0.040973,0.021364,0.003810,0.002195,0.000010,2637.471154,0.193629,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,99.123911,0.000099,,,,,,,0.014686,0.065276,0.039545,0.020428,0.003533,0.001770,0.000010,2648.019231,0.193144,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,99.116399,0.000099,,,,,,,0.014413,0.062965,0.038282,0.019525,0.003463,0.001695,0.000010,2646.403846,0.193840,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,99.247859,0.000099,,,,,,,0.014557,0.054909,0.033862,0.016360,0.003253,0.001434,0.000010,2650.855769,0.193235,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,99.337064,0.000098,,,,,,,0.014641,0.053675,0.033384,0.015742,0.003169,0.001380,0.000010,2646.423077,0.194079,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,99.338942,0.000098,,,,,,,0.014916,0.051230,0.031564,0.015365,0.003040,0.001261,0.000010,2649.259615,0.195137,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,99.303260,0.000098,,,,,,,0.014868,0.052126,0.032865,0.015373,0.002904,0.000984,0.000010,2651.115385,0.194763,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,99.382136,0.000097,,,,,,,0.014938,0.048966,0.030791,0.014086,0.002960,0.001130,0.000010,2644.903846,0.195245,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,99.464769,0.000097,,,,,,,0.014709,0.047454,0.030372,0.013342,0.002817,0.000923,0.000010,2631.692308,0.193737,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,99.424392,0.000096,,,,,,,0.014710,0.048133,0.030433,0.013893,0.002786,0.001021,0.000010,2661.625000,0.194577,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,99.432843,0.000095,,,,,,,0.014780,0.044895,0.028591,0.012707,0.002639,0.000959,0.000010,2635.211538,0.194123,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,99.519231,0.000095,,,,,,,0.014486,0.042757,0.027752,0.011730,0.002592,0.000683,0.000010,2646.480769,0.193934,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,99.471342,0.000094,,,,,,,0.014749,0.041554,0.026672,0.011546,0.002571,0.000765,0.000009,2636.125000,0.193679,,,,,,,,,,,,,,,,,,,,,,,,,
