epoch,train/acc,train/base_lr,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time
1.000000,98.061827,0.000076,0.007762,-68009045838327638392832.000000,-68009045838327638392832.000000,417244.254265,1.372971,1.452593,0.000008,2656.846154,0.216544
2.000000,99.479789,0.000100,0.007673,-81856067068241796661248.000000,-81856067068241796661248.000000,493195.406844,0.048866,0.600447,0.000010,2634.807692,0.212478
3.000000,99.650691,0.000099,0.007836,-63922618450935717822464.000000,-63922618450935717822464.000000,428833.277530,0.016036,0.550884,0.000010,2640.778846,0.214342
4.000000,99.662898,0.000098,0.007835,-61371367175843617964032.000000,-61371367175843617964032.000000,430463.620979,0.010671,0.516163,0.000010,2622.423077,0.214622
5.000000,98.671312,0.000096,0.007835,-58891253960210454151168.000000,-58891253960210454151168.000000,422180.618424,0.014686,0.480837,0.000010,2655.278846,0.213652
6.000000,99.653508,0.000093,0.007813,-56837280951740860989440.000000,-56837280951740860989440.000000,406252.601224,0.010471,0.450458,0.000009,2655.817308,0.213917
7.000000,99.645996,0.000091,0.007729,-55219897562947538386944.000000,-55219897562947538386944.000000,406086.220500,0.011548,0.420825,0.000009,2642.153846,0.212093
8.000000,98.748671,0.000087,0.007787,-54008915221937471356928.000000,-54008915221937471356928.000000,369341.859324,0.050761,0.470665,0.000009,2680.269231,0.213375
9.000000,98.701360,0.000084,0.007810,-51870417140892978642944.000000,-51870417140892978642944.000000,359945.559781,0.008852,0.369943,0.000009,2625.634615,0.211702
10.000000,98.688214,0.000080,0.007855,-50943800882727164575744.000000,-50943800882727164575744.000000,370603.939399,0.009046,0.351631,0.000008,2658.298077,0.212983
11.000000,99.637545,0.000075,0.007734,-49844651288499259965440.000000,-49844651288499259965440.000000,352190.824252,0.008175,0.327842,0.000008,2640.240385,0.211148
12.000000,99.646935,0.000071,0.007812,-48195959507765583413248.000000,-48195959507765583413248.000000,336668.829227,0.008561,0.312216,0.000007,2666.615385,0.211865
13.000000,98.692909,0.000066,0.007786,-48178669185446071762944.000000,-48178669185446071762944.000000,342660.862027,0.009383,0.296882,0.000007,2657.028846,0.213688
14.000000,99.632850,0.000061,0.007775,-48510186190891231739904.000000,-48510186190891231739904.000000,325755.258339,0.008017,0.283485,0.000006,2647.903846,0.213140
15.000000,99.646935,0.000056,0.007746,-47422116937068445696000.000000,-47422116937068445696000.000000,306342.597960,0.008462,0.271715,0.000006,2656.230769,0.211387
16.000000,99.659142,0.000051,0.007749,-45963179860708751835136.000000,-45963179860708751835136.000000,292602.861493,0.007528,0.261800,0.000005,2638.903846,0.211835
17.000000,99.639423,0.000045,0.008181,-47775606886443031461888.000000,-47775606886443031461888.000000,273177.062779,0.007476,0.253512,0.000005,2647.221154,0.213877
18.000000,99.654447,0.000040,0.007689,-47863420288268152864768.000000,-47863420288268152864768.000000,257084.467125,0.007316,0.245797,0.000005,2664.259615,0.210932
19.000000,98.683519,0.000035,0.007733,-47480462676380558032896.000000,-47480462676380558032896.000000,233456.619248,0.007378,0.238815,0.000004,2633.711538,0.211397
20.000000,99.648813,0.000030,0.007744,-47965009554394004324352.000000,-47965009554394004324352.000000,202991.944981,0.007421,0.233806,0.000004,2663.557692,0.212179
21.000000,98.777419,0.000026,0.007706,-48649476145245491036160.000000,-48649476145245491036160.000000,174480.031788,0.007295,0.228254,0.000003,2646.509615,0.211458
22.000000,99.639423,0.000021,0.007705,-47115261982684898918400.000000,-47115261982684898918400.000000,150935.829729,0.006822,0.222588,0.000003,2656.932692,0.211254
23.000000,99.646935,0.000017,0.007702,-48098899135907623862272.000000,-48098899135907623862272.000000,130829.135101,0.007218,0.220417,0.000002,2634.250000,0.211270
24.000000,99.657264,0.000014,0.007849,-48347907815334087753728.000000,-48347907815334087753728.000000,95556.604458,0.007486,0.218685,0.000002,2667.028846,0.213574
25.000000,99.639423,0.000010,0.007721,-47318759289245065543680.000000,-47318759289245065543680.000000,73131.519678,0.007052,0.215820,0.000002,2645.625000,0.215435
26.000000,99.660081,0.000008,0.007732,-47314405820142551302144.000000,-47314405820142551302144.000000,53133.259066,0.007064,0.214469,0.000002,2659.865385,0.212084
27.000000,99.628155,0.000005,0.007774,-48021317607143782744064.000000,-48021317607143782744064.000000,41713.536473,0.007089,0.213307,0.000001,2649.365385,0.210083
28.000000,99.623460,0.000003,0.007652,-46908760516216292900864.000000,-46908760516216292900864.000000,23477.134965,0.006906,0.212725,0.000001,2652.288462,0.212388
29.000000,99.673227,0.000002,0.008422,-47385833038412020449280.000000,-47385833038412020449280.000000,14565.860833,0.007102,0.213240,0.000001,2645.413462,0.216271
30.000000,99.635667,0.000001,0.008308,-48570661465947912536064.000000,-48570661465947912536064.000000,8139.548761,0.007034,0.211888,0.000001,2639.980769,0.220724
