epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
1.0,98.493840,0.000038,,,,,,,0.015015,0.230452,0.010696,0.070913,0.010356,0.138487,0.000004,2668.951923,0.222263,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,98.948317,0.000050,,,,,,,0.014913,0.115183,0.023631,0.039794,0.008349,0.043409,0.000005,2654.038462,0.218485,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,98.959585,0.000049,,,,,,,0.014841,0.109932,0.027200,0.038176,0.007777,0.036779,0.000005,2623.432692,0.217611,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,99.026255,0.000049,,,,,,,0.015011,0.104175,0.030382,0.037156,0.007084,0.029553,0.000005,2658.038462,0.218495,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,98.820613,0.000048,,,,,,,0.014891,0.102700,0.032169,0.036855,0.006953,0.026723,0.000005,2634.663462,0.219330,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,98.857234,0.000047,,,,,,,0.014963,0.098019,0.033922,0.035195,0.006542,0.022360,0.000005,2634.451923,0.218446,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,98.881648,0.000045,,,,,,,0.015184,0.095350,0.035712,0.034519,0.006063,0.019055,0.000005,2654.673077,0.220562,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,98.931415,0.000044,,,,,,,0.015210,0.091220,0.035811,0.032529,0.006006,0.016873,0.000004,2654.192308,0.219975,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,98.954890,0.000042,,,,,,,0.014965,0.086138,0.035052,0.030062,0.005630,0.015393,0.000004,2651.480769,0.219865,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,99.039401,0.000040,,,,,,,0.015303,0.083135,0.034066,0.029045,0.005419,0.014605,0.000004,2656.153846,0.219090,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,99.180251,0.000038,,,,,,,0.014964,0.079353,0.033506,0.027368,0.005182,0.013297,0.000004,2657.855769,0.218929,,,,,,,,,,,,,,,,,,,,,,,,,
