epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.1254,1.70293,3.07371,1.26337,0.46533,0.38235,0.35249,0.17656,1.46974,2.59982,1.14351,0.000662005,0.000662005,0.000662005
2,171.177,1.7314,2.25622,1.24967,0.09073,0.30392,0.05716,0.02543,1.6925,5.94215,1.54945,0.00130236,0.00130236,0.00130236
3,244.284,1.89287,2.37294,1.34145,0.47312,0.39216,0.40092,0.20422,1.72856,2.24729,1.50381,0.00191632,0.00191632,0.00191632
4,325.202,1.85336,2.0383,1.2757,0.52201,0.45098,0.42491,0.17555,1.74083,2.17901,1.39842,0.0018812,0.0018812,0.0018812
5,402.657,1.78912,1.82985,1.25996,0.42546,0.48645,0.31751,0.1568,1.65147,2.15569,1.34363,0.0018416,0.0018416,0.0018416
6,479.88,1.73989,1.74355,1.25649,0.29635,0.5,0.21976,0.10211,1.5781,2.11184,1.34064,0.001802,0.001802,0.001802
7,556.777,1.70289,1.6441,1.21948,0.64336,0.52941,0.5192,0.29789,1.534,1.92313,1.35801,0.0017624,0.0017624,0.0017624
8,631.268,1.63646,1.49489,1.22587,0.53006,0.49764,0.50632,0.27487,1.52349,1.54932,1.18602,0.0017228,0.0017228,0.0017228
9,705.493,1.66465,1.48517,1.23808,0.74187,0.56863,0.60184,0.3447,1.42839,1.37906,1.19391,0.0016832,0.0016832,0.0016832
10,778.87,1.67585,1.49436,1.23167,0.86868,0.51883,0.60273,0.36027,1.43402,1.31095,1.21406,0.0016436,0.0016436,0.0016436
11,853.407,1.59345,1.33928,1.19857,0.87546,0.55135,0.6136,0.38228,1.34715,1.13712,1.16992,0.001604,0.001604,0.001604
12,926.408,1.60691,1.40535,1.17743,0.6368,0.57843,0.58516,0.33878,1.51008,1.22914,1.21992,0.0015644,0.0015644,0.0015644
13,1000.83,1.63227,1.38591,1.17101,0.76766,0.52941,0.59934,0.36967,1.36422,1.13332,1.10595,0.0015248,0.0015248,0.0015248
14,1074.17,1.54664,1.24773,1.1434,0.66553,0.55882,0.58183,0.35166,1.35585,1.15505,1.11146,0.0014852,0.0014852,0.0014852
15,1147.53,1.52395,1.28985,1.15785,0.77122,0.54902,0.61034,0.38638,1.32446,1.09978,1.10528,0.0014456,0.0014456,0.0014456
16,1220.88,1.45393,1.25932,1.11759,0.70423,0.55882,0.60678,0.38683,1.28708,1.09209,1.11172,0.001406,0.001406,0.001406
17,1294.32,1.51712,1.31556,1.10108,0.72007,0.62745,0.63277,0.4084,1.28907,1.13297,1.15672,0.0013664,0.0013664,0.0013664
18,1367.29,1.46992,1.25269,1.12465,0.68456,0.59804,0.60701,0.37769,1.22781,1.10806,1.05116,0.0013268,0.0013268,0.0013268
19,1442.21,1.47422,1.23862,1.08685,0.75469,0.55882,0.62272,0.42067,1.13917,1.04445,1.06284,0.0012872,0.0012872,0.0012872
20,1514.98,1.38345,1.12882,1.07557,0.61492,0.56863,0.53166,0.34825,1.20209,1.18411,1.06109,0.0012476,0.0012476,0.0012476
