epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5899,1.43044,4.10449,1.30693,0.00317,0.66667,0.40162,0.24423,1.31941,3.62142,1.10078,0.00032,0.00032,0.00032
2,34.223,1.38105,2.44015,1.16251,0.38048,0.3,0.16712,0.09112,1.395,3.7703,1.29124,0.000659839,0.000659839,0.000659839
3,50.1041,1.47153,2.15038,1.20308,0.11517,0.03333,0.01863,0.0089,1.70248,4.54571,1.73158,0.000999023,0.000999023,0.000999023
4,64.4914,1.48189,1.96332,1.22768,0.18376,0.23333,0.14356,0.04963,1.79809,3.76014,1.69402,0.00133706,0.00133706,0.00133706
5,80.2451,1.4708,1.804,1.20938,0.04465,0.06667,0.00787,0.00293,1.8716,14.3386,1.79943,0.00167344,0.00167344,0.00167344
6,95.7522,1.50826,1.7395,1.24272,0.59446,0.26667,0.30319,0.14469,1.87457,3.32222,1.79526,0.00198781,0.00198781,0.00198781
7,110.854,1.47411,1.60697,1.21113,0.10825,0.23333,0.05972,0.02794,1.95943,6.16848,1.9552,0.00198246,0.00198246,0.00198246
8,125.453,1.49473,1.50745,1.2366,0.13404,0.16667,0.10917,0.03134,1.8119,8.2995,1.70437,0.00197616,0.00197616,0.00197616
9,139.945,1.4532,1.42861,1.21738,0.26762,0.26667,0.26815,0.14383,1.96789,3.41143,1.73786,0.0019689,0.0019689,0.0019689
10,153.604,1.46106,1.38736,1.20962,0.70231,0.36667,0.4256,0.25276,1.66862,4.42829,1.58239,0.00196069,0.00196069,0.00196069
11,168.974,1.41462,1.26338,1.21015,0.70814,0.64732,0.67252,0.36264,1.49151,1.54102,1.33754,0.00195155,0.00195155,0.00195155
12,184.243,1.37443,1.23102,1.15899,0.42471,0.53333,0.43695,0.26637,1.35547,2.47947,1.27496,0.00194147,0.00194147,0.00194147
13,198.528,1.3791,1.21519,1.19704,0.84755,0.56667,0.63988,0.38964,1.38708,2.28086,1.32825,0.00193048,0.00193048,0.00193048
14,213.462,1.36636,1.13051,1.1743,0.81468,0.66667,0.70185,0.352,1.62155,1.81694,1.39576,0.00191858,0.00191858,0.00191858
15,227.996,1.34181,1.16023,1.15996,0.70138,0.4,0.53533,0.28827,1.52492,1.9829,1.41379,0.00190578,0.00190578,0.00190578
16,241.637,1.38451,1.16257,1.17194,0.6032,0.53333,0.51603,0.2877,1.3638,3.14768,1.36571,0.0018921,0.0018921,0.0018921
17,256.011,1.32676,1.08387,1.14164,0.80553,0.6,0.72198,0.39721,1.57033,1.37578,1.48335,0.00187754,0.00187754,0.00187754
18,270.303,1.33016,1.0613,1.13141,0.75426,0.66667,0.64342,0.37084,1.50746,1.48542,1.33293,0.00186213,0.00186213,0.00186213
19,285.134,1.35804,1.08915,1.14905,0.56921,0.79293,0.70343,0.37601,1.54847,1.59735,1.40482,0.00184588,0.00184588,0.00184588
20,297.912,1.32855,0.99226,1.14138,0.7965,0.65269,0.74639,0.40667,1.39326,1.65297,1.34559,0.00182881,0.00182881,0.00182881
21,312.63,1.29215,1.02463,1.14551,0.75189,0.76667,0.75388,0.46651,1.30841,1.21515,1.21902,0.00181093,0.00181093,0.00181093
22,326.879,1.28582,0.9963,1.13994,0.79725,0.76667,0.77206,0.50391,1.10813,1.17287,1.15814,0.00179225,0.00179225,0.00179225
23,341.35,1.28989,1.03118,1.13636,0.87744,0.71628,0.84011,0.54832,1.16684,0.94159,1.11637,0.00177281,0.00177281,0.00177281
24,355.962,1.19101,0.94645,1.10419,0.89757,0.7,0.81283,0.42996,1.40589,1.15731,1.17232,0.00175261,0.00175261,0.00175261
25,370.156,1.22691,1.00645,1.10389,0.73137,0.54486,0.68212,0.44475,1.29301,1.25664,1.18153,0.00173168,0.00173168,0.00173168
26,383.885,1.14346,0.9194,1.08347,0.87406,0.69426,0.74725,0.48743,1.34435,1.2897,1.21253,0.00171004,0.00171004,0.00171004
27,397.758,1.21136,0.95791,1.10174,0.95618,0.7275,0.8303,0.50832,1.16665,1.08794,1.18446,0.0016877,0.0016877,0.0016877
28,411.619,1.2084,0.94162,1.1042,0.83774,0.8,0.82856,0.53267,1.17315,0.89282,1.15975,0.0016647,0.0016647,0.0016647
29,425.554,1.1619,0.88634,1.08228,0.84466,0.76667,0.78258,0.46575,1.22704,1.01982,1.12961,0.00164105,0.00164105,0.00164105
30,439.675,1.13258,0.85936,1.05278,0.84532,0.8,0.81279,0.52591,1.14474,0.89166,1.12612,0.00161678,0.00161678,0.00161678
31,453.464,1.14845,0.85515,1.09354,0.90729,0.8,0.85904,0.5509,1.26516,0.93012,1.20031,0.00159191,0.00159191,0.00159191
32,468.204,1.23698,0.90956,1.11035,0.78431,0.76667,0.80013,0.52933,1.15028,1.01822,1.13409,0.00156646,0.00156646,0.00156646
33,481.96,1.18409,0.88182,1.08077,0.87578,0.76667,0.84204,0.5433,1.10859,0.95872,1.06396,0.00154047,0.00154047,0.00154047
34,496.513,1.14943,0.92647,1.09732,0.9823,0.7,0.87284,0.5267,1.19917,1.07142,1.1396,0.00151395,0.00151395,0.00151395
35,510.352,1.20976,0.88126,1.08363,0.81309,0.87011,0.87553,0.5744,1.20062,0.82299,1.10013,0.00148694,0.00148694,0.00148694
36,525.755,1.1334,0.82907,1.06887,0.89201,0.82624,0.85101,0.57015,1.09,0.84838,1.13965,0.00145945,0.00145945,0.00145945
37,540.03,1.07853,0.79591,1.0237,0.84905,0.7,0.83171,0.56516,1.11519,0.85449,1.0932,0.00143152,0.00143152,0.00143152
38,554.046,1.11345,0.83942,1.04269,0.77654,0.7,0.78521,0.53437,0.99189,0.94021,1.04518,0.00140318,0.00140318,0.00140318
39,568.187,1.09135,0.80662,1.04795,1,0.66324,0.82294,0.52645,1.25863,0.95288,1.08974,0.00137444,0.00137444,0.00137444
40,582.406,1.12005,0.82156,1.04113,0.95433,0.69673,0.77887,0.50317,1.14142,0.92186,1.08762,0.00134535,0.00134535,0.00134535
41,596.656,1.06408,0.77324,1.02659,0.87659,0.73333,0.81039,0.56214,1.01342,0.74642,1.02675,0.00131593,0.00131593,0.00131593
42,610.979,1.08747,0.79004,1.05431,0.87284,0.66667,0.77606,0.4975,1.09531,1.01745,1.11971,0.0012862,0.0012862,0.0012862
