epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1640.74,1.28861,1.39869,1.17309,0.88545,0.84465,0.8788,0.54935,1.29285,1.09651,1.18098,0.000665963,0.000665963,0.000665963
2,3326.04,1.32133,0.89068,1.19067,0.92623,0.88665,0.92764,0.59612,1.25279,0.77518,1.17872,0.00130624,0.00130624,0.00130624
3,5103.06,1.2996,0.82962,1.18051,0.8494,0.87244,0.84418,0.54001,1.23831,0.87972,1.1733,0.00192012,0.00192012,0.00192012
4,6678.29,1.28911,0.7835,1.16751,0.95166,0.90387,0.94571,0.62196,1.21591,0.69013,1.15399,0.0018812,0.0018812,0.0018812
5,8262.13,1.25572,0.74839,1.15483,0.97069,0.89977,0.95071,0.62325,1.23936,0.62905,1.15711,0.0018416,0.0018416,0.0018416
6,9805.38,1.23963,0.71769,1.1391,0.96124,0.91526,0.95138,0.63567,1.18574,0.62549,1.12969,0.001802,0.001802,0.001802
7,11351.9,1.21575,0.67615,1.13015,0.96622,0.91435,0.95243,0.63618,1.1976,0.5799,1.12942,0.0017624,0.0017624,0.0017624
8,12899.2,1.21677,0.67185,1.13279,0.96585,0.91754,0.95668,0.63978,1.18668,0.58022,1.11581,0.0017228,0.0017228,0.0017228
9,14454.2,1.19698,0.64653,1.11823,0.958,0.91443,0.9494,0.63765,1.17684,0.59608,1.11288,0.0016832,0.0016832,0.0016832
10,16007.3,1.189,0.63318,1.11514,0.97454,0.92938,0.96074,0.65527,1.15002,0.53282,1.10854,0.0016436,0.0016436,0.0016436
11,45699.1,1.18718,0.62725,1.11113,0.97732,0.92437,0.96033,0.64737,1.16206,0.56413,1.10943,0.001604,0.001604,0.001604
12,47254.6,1.17241,0.61751,1.10256,0.98033,0.93092,0.9612,0.65741,1.14505,0.52822,1.10307,0.0015644,0.0015644,0.0015644
13,48767.4,1.15935,0.60151,1.09811,0.97331,0.9305,0.96514,0.66319,1.14996,0.51194,1.09749,0.0015248,0.0015248,0.0015248
14,50280.7,1.16822,0.6045,1.10052,0.9774,0.92596,0.9662,0.66793,1.13791,0.52784,1.1011,0.0014852,0.0014852,0.0014852
15,51806.6,1.15138,0.59343,1.09659,0.98052,0.93257,0.96834,0.67626,1.11828,0.49312,1.08789,0.0014456,0.0014456,0.0014456
16,53547.4,1.13495,0.57713,1.08708,0.9789,0.93121,0.96771,0.6768,1.12107,0.48578,1.08103,0.001406,0.001406,0.001406
17,55190.7,1.13345,0.56969,1.07969,0.97898,0.93713,0.971,0.67348,1.11022,0.49003,1.07471,0.0013664,0.0013664,0.0013664
18,56779.1,1.13033,0.56107,1.07786,0.98162,0.93531,0.96935,0.68525,1.10943,0.47174,1.07518,0.0013268,0.0013268,0.0013268
19,58337.5,1.13623,0.55758,1.07849,0.97518,0.93093,0.96432,0.66316,1.13981,0.49176,1.07927,0.0012872,0.0012872,0.0012872
20,59855.1,1.12135,0.55237,1.07955,0.978,0.93804,0.9711,0.68104,1.11076,0.46944,1.08397,0.0012476,0.0012476,0.0012476
21,61399.1,1.11801,0.5478,1.07652,0.98438,0.93941,0.97123,0.68668,1.10625,0.47144,1.07428,0.001208,0.001208,0.001208
22,62947.4,1.11519,0.53891,1.06946,0.98837,0.9344,0.97173,0.68152,1.1092,0.4592,1.06917,0.0011684,0.0011684,0.0011684
23,64492.8,1.10971,0.53356,1.07112,0.98355,0.94351,0.97333,0.68834,1.08534,0.45334,1.06465,0.0011288,0.0011288,0.0011288
24,66038.5,1.09874,0.52814,1.06748,0.97731,0.94032,0.97296,0.68734,1.09126,0.44449,1.06217,0.0010892,0.0010892,0.0010892
25,67678.7,1.10401,0.52394,1.06382,0.98304,0.94396,0.97401,0.69167,1.09828,0.44781,1.06643,0.0010496,0.0010496,0.0010496
26,69273.8,1.10258,0.52513,1.06459,0.98012,0.94312,0.97212,0.69136,1.08002,0.44204,1.05555,0.00101,0.00101,0.00101
27,2538.09,1.08247,0.51771,1.05729,0.9748,0.94852,0.97229,0.68805,1.09446,0.44447,1.06316,0.0009704,0.0009704,0.0009704
28,2350.4,1.01961,0.50469,1.02572,0.986,0.93895,0.97095,0.68315,1.10076,0.44854,1.06542,0.0009308,0.0009308,0.0009308
29,4581.96,1.09698,0.51346,1.05997,0.97533,0.94487,0.97118,0.6877,1.08766,0.44027,1.0531,0.0008912,0.0008912,0.0008912
30,6766.41,1.07912,0.50009,1.04999,0.98759,0.93576,0.97347,0.69518,1.08754,0.42639,1.05257,0.0008516,0.0008516,0.0008516
31,9029.54,1.0793,0.49122,1.05069,0.98298,0.94739,0.97503,0.6999,1.07613,0.42102,1.05092,0.000812,0.000812,0.000812
32,11217.4,1.06844,0.49173,1.04695,0.97891,0.95154,0.97611,0.69908,1.07526,0.41772,1.04681,0.0007724,0.0007724,0.0007724
33,13373.2,1.06516,0.48686,1.04103,0.98858,0.94396,0.97518,0.69874,1.07389,0.41771,1.04753,0.0007328,0.0007328,0.0007328
34,49665,1.05258,0.47834,1.04221,0.98772,0.94533,0.97479,0.70312,1.0727,0.41453,1.04603,0.0006932,0.0006932,0.0006932
35,2099.78,0.99885,0.45733,1.02088,0.98672,0.94768,0.97451,0.69846,1.08116,0.41116,1.04717,0.0006536,0.0006536,0.0006536
36,4052.3,1.03244,0.46263,1.03173,0.97891,0.95171,0.97449,0.70032,1.07092,0.4113,1.04409,0.000614,0.000614,0.000614
37,6153.6,1.01373,0.45299,1.02429,0.98533,0.94842,0.97662,0.70737,1.06655,0.40617,1.03934,0.0005744,0.0005744,0.0005744
