epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8996,1.74943,3.88725,1.28718,0.00363,0.61667,0.01384,0.00933,1.18156,3.81377,0.98858,0.000652482,0.000652482,0.000652482
2,185.128,1.60374,2.38321,1.10895,1,0.1592,0.39158,0.22519,1.48624,3.28051,1.12851,0.00129303,0.00129303,0.00129303
3,266.81,1.56638,2.02327,1.14563,0.88015,0.46667,0.54658,0.31743,1.35279,2.16099,1.13723,0.00190718,0.00190718,0.00190718
4,348.314,1.58186,1.84604,1.1204,0.82447,0.53333,0.56281,0.37815,1.20155,1.60334,1.08277,0.0018812,0.0018812,0.0018812
5,429.833,1.57248,1.62034,1.10472,0.82688,0.56667,0.62211,0.41228,1.13996,1.46091,1.05532,0.0018416,0.0018416,0.0018416
6,511.211,1.50621,1.5268,1.09058,0.82885,0.56667,0.61376,0.38553,1.15906,1.35879,1.08557,0.001802,0.001802,0.001802
7,592.898,1.48444,1.36359,1.07894,0.92203,0.51667,0.62021,0.34275,1.487,1.3536,1.27249,0.0017624,0.0017624,0.0017624
8,674.606,1.53262,1.24843,1.08215,0.86029,0.53333,0.61539,0.3695,1.17179,1.39642,1.08028,0.0017228,0.0017228,0.0017228
9,750.408,1.49387,1.19758,1.10721,0.70914,0.53333,0.6107,0.3835,1.22769,1.22809,1.05778,0.0016832,0.0016832,0.0016832
10,826.678,1.44675,1.10241,1.06494,0.87471,0.6,0.67701,0.45254,1.20218,1.11087,1.04754,0.0016436,0.0016436,0.0016436
11,902.928,1.42051,1.05788,1.06415,0.82206,0.61598,0.67185,0.45795,1.11495,1.01377,0.99391,0.001604,0.001604,0.001604
12,981.21,1.43467,1.01639,1.05253,0.85634,0.6,0.67989,0.44718,1.07907,0.95759,1.00125,0.0015644,0.0015644,0.0015644
13,1061.97,1.39175,0.9308,1.02762,0.91151,0.53333,0.67602,0.38666,1.36038,1.109,1.12011,0.0015248,0.0015248,0.0015248
14,1143.21,1.30771,0.94774,1.02231,0.91368,0.52931,0.63833,0.42549,1.0931,0.9577,1.00381,0.0014852,0.0014852,0.0014852
15,1224.85,1.38933,0.91655,1.04391,0.79057,0.56623,0.60054,0.34405,1.51116,0.96333,1.19089,0.0014456,0.0014456,0.0014456
16,1303.74,1.36582,0.95304,1.05577,0.84257,0.58333,0.63024,0.38326,1.27366,1.02379,1.07638,0.001406,0.001406,0.001406
17,1379.62,1.38527,0.95735,1.05143,0.86045,0.61658,0.63185,0.38618,1.25392,0.92389,1.05407,0.0013664,0.0013664,0.0013664
18,1456.2,1.29322,0.88497,1.03278,0.84721,0.64698,0.70194,0.45007,1.09351,0.91259,1.02612,0.0013268,0.0013268,0.0013268
19,1532.32,1.26826,0.80687,1.00176,0.84784,0.6,0.68101,0.4534,1.06339,0.83375,0.9885,0.0012872,0.0012872,0.0012872
20,1608.98,1.32896,0.89163,1.08011,0.97138,0.56561,0.64831,0.44154,1.16286,0.86475,1.02443,0.0012476,0.0012476,0.0012476
21,1685.39,1.25751,0.80096,0.99251,0.94977,0.6303,0.70594,0.45656,1.17133,0.83393,1.03212,0.001208,0.001208,0.001208
