epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1694.02,1.2616,1.44191,1.15323,0.91197,0.84282,0.87565,0.53235,1.30308,1.09953,1.19927,0.000665158,0.000665158,0.000665158
2,3265.45,1.27615,0.87567,1.16439,0.92554,0.83918,0.89463,0.55072,1.32535,0.83986,1.22313,0.00130545,0.00130545,0.00130545
3,4981.84,1.2643,0.7771,1.15705,0.93347,0.88849,0.92564,0.60548,1.23276,0.76456,1.15599,0.00191935,0.00191935,0.00191935
4,6804.61,1.24438,0.73368,1.14724,0.92503,0.8881,0.93573,0.60672,1.23107,0.71262,1.16001,0.0018812,0.0018812,0.0018812
5,8632.65,1.23208,0.70938,1.13597,0.96593,0.89749,0.94119,0.62643,1.18178,0.66552,1.13343,0.0018416,0.0018416,0.0018416
6,10330.9,1.20431,0.6749,1.11791,0.97741,0.90688,0.9484,0.63065,1.17941,0.59835,1.13429,0.001802,0.001802,0.001802
7,11874.3,1.19661,0.64574,1.11851,0.95977,0.91307,0.95181,0.65124,1.17286,0.57803,1.12123,0.0017624,0.0017624,0.0017624
8,13436.1,1.18552,0.6246,1.10997,0.97765,0.91685,0.95523,0.64612,1.17354,0.57216,1.11961,0.0017228,0.0017228,0.0017228
9,15081.3,1.17612,0.61136,1.10241,0.98325,0.90934,0.95726,0.64819,1.17135,0.54778,1.10689,0.0016832,0.0016832,0.0016832
10,16697.2,1.15764,0.59794,1.09559,0.97148,0.92118,0.9559,0.64586,1.18849,0.53535,1.11071,0.0016436,0.0016436,0.0016436
11,18253.2,1.15564,0.59308,1.09231,0.97883,0.92662,0.9673,0.66877,1.13347,0.52116,1.09168,0.001604,0.001604,0.001604
12,19820.4,1.14559,0.58162,1.0861,0.97446,0.92115,0.95752,0.65979,1.11817,0.52491,1.08064,0.0015644,0.0015644,0.0015644
13,21434.2,1.14846,0.57245,1.09053,0.98355,0.92118,0.96273,0.66488,1.13365,0.50878,1.0868,0.0015248,0.0015248,0.0015248
14,23141.9,1.13832,0.56253,1.0824,0.96441,0.92073,0.95919,0.66569,1.1348,0.51834,1.09596,0.0014852,0.0014852,0.0014852
15,24909.3,1.13975,0.56201,1.08685,0.98279,0.9221,0.96057,0.66632,1.14121,0.50539,1.08698,0.0014456,0.0014456,0.0014456
16,26754,1.12383,0.54409,1.07557,0.9808,0.9303,0.96466,0.66057,1.14329,0.50785,1.08597,0.001406,0.001406,0.001406
17,28565.1,1.11439,0.53998,1.07608,0.98272,0.93275,0.96725,0.66856,1.1223,0.48715,1.07669,0.0013664,0.0013664,0.0013664
18,72478,1.11917,0.54009,1.07376,0.97001,0.94396,0.97102,0.67735,1.10752,0.47216,1.07035,0.0013268,0.0013268,0.0013268
19,74284.6,1.11131,0.53308,1.07138,0.97574,0.93467,0.9644,0.67583,1.10337,0.48696,1.06985,0.0012872,0.0012872,0.0012872
20,76155.3,1.10626,0.5263,1.06795,0.98727,0.93349,0.9709,0.68852,1.09818,0.46047,1.0653,0.0012476,0.0012476,0.0012476
21,77998,1.09302,0.51746,1.06203,0.98279,0.93678,0.97116,0.6853,1.10337,0.45125,1.06118,0.001208,0.001208,0.001208
22,79898.3,1.09667,0.50997,1.05981,0.97684,0.94351,0.97102,0.67774,1.10515,0.46802,1.06698,0.0011684,0.0011684,0.0011684
23,81530.7,1.08992,0.50944,1.05795,0.97898,0.93394,0.97062,0.68901,1.0964,0.45367,1.06741,0.0011288,0.0011288,0.0011288
24,83126.6,1.08355,0.50557,1.05835,0.98677,0.93257,0.97461,0.69958,1.08427,0.44308,1.05493,0.0010892,0.0010892,0.0010892
25,84753.5,1.07401,0.49953,1.05005,0.98565,0.93853,0.97099,0.68835,1.08285,0.43979,1.0524,0.0010496,0.0010496,0.0010496
26,86375.6,1.08001,0.49671,1.05288,0.98313,0.9344,0.9725,0.69309,1.0943,0.44761,1.05834,0.00101,0.00101,0.00101
27,88002,1.07406,0.4871,1.05123,0.98445,0.94032,0.97385,0.6927,1.0757,0.43184,1.05446,0.0009704,0.0009704,0.0009704
28,89614.2,1.06733,0.48733,1.04741,0.98173,0.94214,0.97248,0.69597,1.09337,0.43358,1.0563,0.0009308,0.0009308,0.0009308
29,98448.6,1.06722,0.48198,1.04678,0.9801,0.94246,0.97511,0.69947,1.07711,0.42849,1.04941,0.0008912,0.0008912,0.0008912
30,100166,1.06269,0.47658,1.04906,0.98175,0.94442,0.97466,0.70117,1.07483,0.42282,1.0558,0.0008516,0.0008516,0.0008516
